observed_at,city,energy_demand_mwh
2023-01-01 00:00:00+00:00,Delhi,26821.490615986997
2023-01-01 01:00:00+00:00,Delhi,26186.158996059887
2023-01-01 02:00:00+00:00,Delhi,25619.196141351462
2023-01-01 03:00:00+00:00,Delhi,25529.245525118204
2023-01-01 04:00:00+00:00,Delhi,26225.334226507093
2023-01-01 05:00:00+00:00,Delhi,28283.720125197007
2023-01-01 06:00:00+00:00,Delhi,30605.63081855792
2023-01-01 07:00:00+00:00,Delhi,32821.00131166272
2023-01-01 08:00:00+00:00,Delhi,34851.30335401891
2023-01-01 09:00:00+00:00,Delhi,36684.302166321904
2023-01-01 10:00:00+00:00,Delhi,37339.75995163515
2023-01-01 11:00:00+00:00,Delhi,36953.13334791174
2023-01-01 12:00:00+00:00,Delhi,36254.94220129039
2023-01-01 13:00:00+00:00,Delhi,35250.3530392041
2023-01-01 14:00:00+00:00,Delhi,34205.87280215721
2023-01-01 15:00:00+00:00,Delhi,33459.61637918637
2023-01-01 16:00:00+00:00,Delhi,32677.13057289204
2023-01-01 17:00:00+00:00,Delhi,31995.274852738377
2023-01-01 18:00:00+00:00,Delhi,32273.623479412927
2023-01-01 19:00:00+00:00,Delhi,31263.45770853034
2023-01-01 20:00:00+00:00,Delhi,29609.379688977544
2023-01-01 21:00:00+00:00,Delhi,28302.57963957841
2023-01-01 22:00:00+00:00,Delhi,27095.44977895981
2023-01-01 23:00:00+00:00,Delhi,25989.578818656424
2023-01-02 00:00:00+00:00,Delhi,25239.18892486702
2023-01-02 01:00:00+00:00,Delhi,24619.643431466706
2023-01-02 02:00:00+00:00,Delhi,24246.073030782114
2023-01-02 03:00:00+00:00,Delhi,24182.76101874015
2023-01-02 04:00:00+00:00,Delhi,24993.189336140662
2023-01-02 05:00:00+00:00,Delhi,27429.20018306738
2023-01-02 06:00:00+00:00,Delhi,30419.975445724984
2023-01-02 07:00:00+00:00,Delhi,33692.54909416864
2023-01-02 08:00:00+00:00,Delhi,35478.529907407414
2023-01-02 09:00:00+00:00,Delhi,37613.68173384555
2023-01-02 10:00:00+00:00,Delhi,38430.110853871156
2023-01-02 11:00:00+00:00,Delhi,38103.39558249606
2023-01-02 12:00:00+00:00,Delhi,37816.7438070331
2023-01-02 13:00:00+00:00,Delhi,36966.874095005915
2023-01-02 14:00:00+00:00,Delhi,36442.63555397951
2023-01-02 15:00:00+00:00,Delhi,36126.67817636919
2023-01-02 16:00:00+00:00,Delhi,35452.46256466706
2023-01-02 17:00:00+00:00,Delhi,34957.97209382388
2023-01-02 18:00:00+00:00,Delhi,34942.852927994485
2023-01-02 19:00:00+00:00,Delhi,33924.266247685184
2023-01-02 20:00:00+00:00,Delhi,32455.74604974389
2023-01-02 21:00:00+00:00,Delhi,30913.317758668243
2023-01-02 22:00:00+00:00,Delhi,29339.959712519703
2023-01-02 23:00:00+00:00,Delhi,28053.24987105989
2023-01-03 00:00:00+00:00,Delhi,27055.151136327815
2023-01-03 01:00:00+00:00,Delhi,26371.525327620173
2023-01-03 02:00:00+00:00,Delhi,25839.471593676124
2023-01-03 03:00:00+00:00,Delhi,25854.753658392438
2023-01-03 04:00:00+00:00,Delhi,26750.645314913316
2023-01-03 05:00:00+00:00,Delhi,28914.23136638101
2023-01-03 06:00:00+00:00,Delhi,31839.931632535463
2023-01-03 07:00:00+00:00,Delhi,34852.85346123917
2023-01-03 08:00:00+00:00,Delhi,36564.62000201931
2023-01-03 09:00:00+00:00,Delhi,38346.73003772656
2023-01-03 10:00:00+00:00,Delhi,39207.39217764972
2023-01-03 11:00:00+00:00,Delhi,38922.1419518814
2023-01-03 12:00:00+00:00,Delhi,38422.28363352049
2023-01-03 13:00:00+00:00,Delhi,37380.755219858154
2023-01-03 14:00:00+00:00,Delhi,37014.95309677896
2023-01-03 15:00:00+00:00,Delhi,36567.73542346336
2023-01-03 16:00:00+00:00,Delhi,35708.34679309496
2023-01-03 17:00:00+00:00,Delhi,35302.70282013396
2023-01-03 18:00:00+00:00,Delhi,35658.26544429669
2023-01-03 19:00:00+00:00,Delhi,34991.77538992317
2023-01-03 20:00:00+00:00,Delhi,33328.606079294725
2023-01-03 21:00:00+00:00,Delhi,31640.139755959415
2023-01-03 22:00:00+00:00,Delhi,30027.509768814027
2023-01-03 23:00:00+00:00,Delhi,28578.680418094955
2023-01-04 00:00:00+00:00,Delhi,27475.73053422971
2023-01-04 01:00:00+00:00,Delhi,26711.447269799053
2023-01-04 02:00:00+00:00,Delhi,26145.506314076047
2023-01-04 03:00:00+00:00,Delhi,25947.680044671
2023-01-04 04:00:00+00:00,Delhi,26892.39177595548
2023-01-04 05:00:00+00:00,Delhi,29127.39203024035
2023-01-04 06:00:00+00:00,Delhi,32178.09461465721
2023-01-04 07:00:00+00:00,Delhi,35058.28522172971
2023-01-04 08:00:00+00:00,Delhi,36780.56202433018
2023-01-04 09:00:00+00:00,Delhi,38494.313199763594
2023-01-04 10:00:00+00:00,Delhi,38934.60400389086
2023-01-04 11:00:00+00:00,Delhi,38594.544149921196
2023-01-04 12:00:00+00:00,Delhi,38082.27008308708
2023-01-04 13:00:00+00:00,Delhi,37221.897017730495
2023-01-04 14:00:00+00:00,Delhi,36671.304756205674
2023-01-04 15:00:00+00:00,Delhi,36111.82343094957
2023-01-04 16:00:00+00:00,Delhi,35467.12132535461
2023-01-04 17:00:00+00:00,Delhi,35207.12105131994
2023-01-04 18:00:00+00:00,Delhi,35727.824892090226
2023-01-04 19:00:00+00:00,Delhi,35042.99991917849
2023-01-04 20:00:00+00:00,Delhi,33366.02353994287
2023-01-04 21:00:00+00:00,Delhi,31744.513661544523
2023-01-04 22:00:00+00:00,Delhi,30228.509973749013
